n_packets,FlowID,SourceAddress,DestinationAddress,TxBytes,RxBytes,TxPackets,RxPackets,start time, stop time, duration, Throughput_Mbps,OfferedLoad_Mbps
19,4,10.1.1.2,10.1.1.1,48,48,1,1,1.020070,1.020070,0.000000,inf,0.311296
19,5,10.1.1.3,10.1.1.2,30,30,1,1,1.041552,1.041552,0.000000,inf,0.311296
20,1,10.1.1.2,10.1.1.1,2082960,2082960,1980,1980,1.018042,99.955111,98.937069,0.168427,0.327680
20,2,10.1.1.3,10.1.1.1,2082960,2078752,1980,1976,1.287251,99.970535,98.683285,0.168519,0.327680
20,3,10.1.1.2,10.1.1.3,48,48,1,1,1.268167,1.268167,0.000000,inf,0.327680
20,4,10.1.1.2,10.1.1.1,48,48,1,1,1.261064,1.261064,0.000000,inf,0.327680
20,5,10.1.1.3,10.1.1.2,30,30,1,1,1.276346,1.276346,0.000000,inf,0.327680
21,1,10.1.1.2,10.1.1.1,2187108,2187108,2079,2079,1.017372,99.957486,98.940114,0.176843,0.344064
21,2,10.1.1.3,10.1.1.1,2187108,2187108,2079,2079,1.072729,99.972910,98.900180,0.176914,0.344064
21,3,10.1.1.2,10.1.1.3,288,288,6,6,1.032114,53.064682,52.032568,0.000044,0.344064
21,4,10.1.1.2,10.1.1.1,240,240,5,5,1.021061,53.073105,52.052044,0.000037,0.344064
21,5,10.1.1.3,10.1.1.2,150,150,5,5,1.047573,53.066016,52.018444,0.000023,0.344064
22,1,10.1.1.2,10.1.1.1,2292308,2292308,2179,2179,1.009501,100.005096,98.995595,0.185245,0.360448
22,2,10.1.1.3,10.1.1.1,2291256,2291256,2178,2178,1.046617,99.975073,98.928457,0.185286,0.360448
22,3,10.1.1.2,10.1.1.3,48,48,1,1,1.026233,1.026233,0.000000,inf,0.360448
22,4,10.1.1.2,10.1.1.1,48,48,1,1,1.020070,1.020070,0.000000,inf,0.360448
22,5,10.1.1.3,10.1.1.2,30,30,1,1,1.035532,1.035532,0.000000,inf,0.360448
23,1,10.1.1.2,10.1.1.1,2395404,2395404,2277,2277,1.014473,99.961616,98.947144,0.193671,0.376832
23,2,10.1.1.3,10.1.1.1,2395404,2395404,2277,2277,1.065540,99.977040,98.911500,0.193741,0.376832
23,3,10.1.1.2,10.1.1.3,48,48,1,1,1.028125,1.028125,0.000000,inf,0.376832
23,4,10.1.1.2,10.1.1.1,48,48,1,1,1.021061,1.021061,0.000000,inf,0.376832
23,5,10.1.1.3,10.1.1.2,30,30,1,1,1.040563,1.040563,0.000000,inf,0.376832
24,1,10.1.1.2,10.1.1.1,2499552,2499552,2376,2376,1.009373,99.963440,98.954067,0.202078,0.393216
24,2,10.1.1.3,10.1.1.1,2499552,2499552,2376,2376,1.043428,99.978864,98.935436,0.202116,0.393216
24,3,10.1.1.2,10.1.1.3,48,48,1,1,1.024335,1.024335,0.000000,inf,0.393216
24,4,10.1.1.2,10.1.1.1,48,48,1,1,1.014061,1.014061,0.000000,inf,0.393216
24,5,10.1.1.3,10.1.1.2,30,30,1,1,1.032343,1.032343,0.000000,inf,0.393216
25,1,10.1.1.2,10.1.1.1,2603700,2603700,2475,2475,1.008302,99.965103,98.956801,0.210492,0.409600
25,2,10.1.1.3,10.1.1.1,2603700,2603700,2475,2475,1.054868,99.980527,98.925659,0.210558,0.409600
25,3,10.1.1.2,10.1.1.3,96,96,2,2,1.021134,68.058068,67.036934,0.000011,0.409600
25,4,10.1.1.2,10.1.1.1,96,96,2,2,1.017071,68.066310,67.049240,0.000011,0.409600
25,5,10.1.1.3,10.1.1.2,60,60,2,2,1.035333,68.059402,67.024069,0.000007,0.409600
26,1,10.1.1.2,10.1.1.1,2708900,2708900,2575,2575,1.011341,100.005111,98.993770,0.218915,0.425984
26,2,10.1.1.3,10.1.1.1,2707848,2707848,2574,2574,1.056103,99.982069,98.925966,0.218980,0.425984
26,3,10.1.1.2,10.1.1.3,48,48,1,1,1.022953,1.022953,0.000000,inf,0.425984
26,4,10.1.1.2,10.1.1.1,48,48,1,1,1.013890,1.013890,0.000000,inf,0.425984
26,5,10.1.1.3,10.1.1.2,30,30,1,1,1.034192,1.034192,0.000000,inf,0.425984
27,1,10.1.1.2,10.1.1.1,2813048,2813048,2674,2674,1.011481,100.005098,98.993616,0.227332,0.442368
27,2,10.1.1.3,10.1.1.1,2811996,2811996,2673,2673,1.041517,99.983495,98.941978,0.227365,0.442368
27,3,10.1.1.2,10.1.1.3,48,48,1,1,1.018373,1.018373,0.000000,inf,0.442368
27,4,10.1.1.2,10.1.1.1,48,48,1,1,1.014090,1.014090,0.000000,inf,0.442368
27,5,10.1.1.3,10.1.1.2,30,30,1,1,1.030612,1.030612,0.000000,inf,0.442368
28,1,10.1.1.2,10.1.1.1,2916144,2916144,2772,2772,1.008421,99.969385,98.960964,0.235741,0.458752
28,2,10.1.1.3,10.1.1.1,2916144,2916144,2772,2772,1.057058,99.984809,98.927751,0.235820,0.458752
28,3,10.1.1.2,10.1.1.3,48,48,1,1,1.030353,1.030353,0.000000,inf,0.458752
28,4,10.1.1.2,10.1.1.1,48,48,1,1,1.022070,1.022070,0.000000,inf,0.458752
28,5,10.1.1.3,10.1.1.2,30,30,1,1,1.040572,1.040572,0.000000,inf,0.458752
29,1,10.1.1.2,10.1.1.1,3020292,3020292,2871,2871,1.008493,99.970628,98.962136,0.244157,0.475136
29,2,10.1.1.3,10.1.1.1,3020292,3020292,2871,2871,1.060611,99.986052,98.925441,0.244248,0.475136
29,3,10.1.1.2,10.1.1.3,48,48,1,1,1.022475,1.022475,0.000000,inf,0.475136
29,4,10.1.1.2,10.1.1.1,48,48,1,1,1.014171,1.014171,0.000000,inf,0.475136
29,5,10.1.1.3,10.1.1.2,30,30,1,1,1.041016,1.041016,0.000000,inf,0.475136
30,1,10.1.1.2,10.1.1.1,3125492,3125492,2971,2971,1.014404,100.005107,98.990703,0.252589,0.491520
